Codigo,Nombre,Provincia,Superficie,Poblacion_2012,Densidad,IDH_2005
13122,Peñalolén,Santiago,54.0,249621,4001.1,0.743
13123,Providencia,Santiago,14.3,126487,8429.1,0.911
13124,Pudahuel,Santiago,197.0,225509,993.7,0.735
13125,Quilicura,Santiago,58.0,203946,3486.6,0.782
13126,Quinta Normal,Santiago,13.0,101737,8388.0,0.723
13127,Recoleta,Santiago,16.0,152985,9273.8,0.697
13128,Renca,Santiago,24.0,142136,8388.1,0.709
13129,San Joaquín,Santiago,9.7,94255,10064.4,0.719
13130,San Miguel,Santiago,10.0,90846,7787.2,0.765
13131,San Ramón,Santiago,7.0,85195,14600.9,0.679
13132,Vitacura,Santiago,28.3,84195,2910.7,0.949
13201,Puente Alto,Cordillera,88.0,757721,6664.8,0.773
13202,Pirque,Cordillera,445.3,20732,37.2,0.807
13203,San José de Maipo,Cordillera,4994.8,14455,0.3,0.759
13301,Colina,Chacabuco,971.2,113340,80.1,0.726
13302,Lampa,Chacabuco,452.0,79421,89.0,0.697
13303,Til Til,Chacabuco,653.0,16405,22.6,0.706
13401,San Bernardo,Maipo,155.0,277802,1974.0,0.712
13402,Buin,Maipo,214.0,74232,296.2,0.731
13403,Calera de Tango,Maipo,73.3,27781,782.6,0.792
13404,Paine,Maipo,820.0,66512,73.7,0.718
13501,Melipilla,Melipilla,1345.0,107698,70.3,0.735
13502,Alhué,Melipilla,845.0,4646,5.2,0.700
13503,Curacaví,Melipilla,693.0,28439,35.1,0.710
13504,María Pinto,Melipilla,393.5,12501,115.6,0.698
13505,San Pedro,Melipilla,788.0,8062,9.6,0.701
13601,Talagante,Talagante,126.0,78887,474.6,0.749
13602,El Monte,Talagante,118.0,32468,224.2,0.688
13603,Isla de Maipo,Talagante,189.0,33723,136.5,0.724
13604,Padre Hurtado,Talagante,80.8,50696,626.2,0.728
13605,Peñaflor,Talagante,69.0,87741,965.5,0.753
