RegionID,Region,Provincia,Comuna,Superficie,Poblacion,Densidad,IDH_2005
11,La Araucanía,Malleco,Collipulli,1295.9,21705,16.7,0.633
11,La Araucanía,Cautín,Cunco,1906.5,19024,10,0.659
11,La Araucanía,Malleco,Curacautín,1664,15728,9.5,0.657
11,La Araucanía,Cautín,Curarrehue,1170.7,7540,6.4,0.603
11,La Araucanía,Malleco,Ercilla,499.7,9148,18.3,0.609
11,La Araucanía,Cautín,Freire,935.2,27616,29.5,0.614
11,La Araucanía,Cautín,Galvarino,568.2,11324,19.9,0.611
11,La Araucanía,Cautín,Gorbea,694.5,15481,22.3,0.644
11,La Araucanía,Cautín,Lautaro,901.1,35451,39.3,0.669
11,La Araucanía,Cautín,Loncoche,976.8,22191,22.7,0.652
11,La Araucanía,Malleco,Lonquimay,3914.2,11341,2.9,0.629
11,La Araucanía,Malleco,Los Sauces,849.8,6490,7.6,0.602
11,La Araucanía,Malleco,Lumaco,1119,10479,9.4,0.603
11,La Araucanía,Cautín,Melipeuco,1107.3,5451,4.9,0.629
11,La Araucanía,Cautín,Nueva Imperial,732.5,32109,43.8,0.629
11,La Araucanía,Cautín,Padre Las Casas,400.7,72135,180,0.662
11,La Araucanía,Cautín,Perquenco,330.7,6911,20.9,0.63
11,La Araucanía,Cautín,Pitrufquén,580.7,23776,40.9,0.663
11,La Araucanía,Cautín,Pucón,1248.5,29987,24,0.767
11,La Araucanía,Malleco,Purén,464.9,11789,25.4,0.594
11,La Araucanía,Malleco,Renaico,267.4,9028,33.8,0.615
11,La Araucanía,Cautín,Saavedra,400.8,13481,33.6,0.574
11,La Araucanía,Cautín,Temuco,464,269992,8039,0.763
11,La Araucanía,Cautín,Teodoro Schmidt,649.9,15793,24.3,0.607
11,La Araucanía,Cautín,Toltén,860.4,10403,12.1,0.617
11,La Araucanía,Malleco,Traiguén,908,18357,20.2,0.657
11,La Araucanía,Malleco,Victoria,1256,33127,26.4,0.686
11,La Araucanía,Cautín,Vilcún,1420.9,23823,16.8,0.643
11,La Araucanía,Cautín,Villarrica,1291.1,56178,43.5,0.698
12,Los Ríos,Valdivia,Corral,767,5084,7.1,0.658
12,Los Ríos,Ranco,Futrono,2267.5,15811,6.6,0.637
12,Los Ríos,Ranco,La Unión,2137,38544,18.4,0.687
12,Los Ríos,Ranco,Lago Ranco,1763.3,9380,5.7,0.606
12,Los Ríos,Valdivia,Lanco,532.4,16663,28.4,0.648
12,Los Ríos,Valdivia,Los Lagos,1791.2,18733,11.3,0.658
12,Los Ríos,Valdivia,Máfil,583,7006,12.3,0.655
12,Los Ríos,Valdivia,Mariquina,1320.5,19823,15.1,0.653
12,Los Ríos,Valdivia,Paillaco,896,19898,22,0.647
12,Los Ríos,Valdivia,Panguipulli,3292,35185,10.1,0.627
12,Los Ríos,Ranco,Río Bueno,2211.7,31343,15.5,0.624
12,Los Ríos,Valdivia,Valdivia,1016,163148,138.4,0.754
13,Los Lagos,Chiloé,Ancud,1752.4,41960,23.9,0.705
13,Los Lagos,Llanquihue,Calbuco,590.8,34902,59.1,0.642
13,Los Lagos,Chiloé,Castro,472.5,50764,107.4,0.72
13,Los Lagos,Palena,Chaitén,8470.5,7122,0.8,0.704
13,Los Lagos,Chiloé,Chonchi,1362.1,14639,10.7,0.641
13,Los Lagos,Llanquihue,Cochamó,3910.8,4326,1.1,0.69
13,Los Lagos,Chiloé,Curaco de Vélez,80,3884,48.6,0.702
13,Los Lagos,Chiloé,Dalcahue,1239.4,14548,11.7,0.69
13,Los Lagos,Llanquihue,Fresia,1278.1,12454,9.7,0.657
13,Los Lagos,Llanquihue,Frutillar,831.4,17756,21.4,0.669
13,Los Lagos,Palena,Futaleufú,1280,1836,1.4,0.665
13,Los Lagos,Palena,Hualaihué,2787.7,8426,3,0.659
13,Los Lagos,Llanquihue,Llanquihue,420.8,18151,43.1,0.695
13,Los Lagos,Llanquihue,Los Muermos,1245.8,16522,13.3,0.648
13,Los Lagos,Llanquihue,Maullín,860.8,13914,16.2,0.691
13,Los Lagos,Osorno,Osorno,951,153797,152.9,0.7
13,Los Lagos,Palena,Palena,2763.7,1665,0.6,0.667
13,Los Lagos,Llanquihue,Puerto Montt,1673,248945,142.5,0.718
13,Los Lagos,Osorno,Puerto Octay,1795.7,9480,5.3,0.679
13,Los Lagos,Llanquihue,Puerto Varas,4064.9,39414,9.7,0.748
13,Los Lagos,Chiloé,Puqueldón,97.3,4097,42.1,0.628
13,Los Lagos,Osorno,Purranque,1458.8,20768,14.2,0.627
13,Los Lagos,Osorno,Puyehue,1597.9,11370,7.1,0.675
13,Los Lagos,Chiloé,Queilén,332.9,5319,16,0.646
13,Los Lagos,Chiloé,Quellón,3244,30964,9.5,0.67
13,Los Lagos,Chiloé,Quemchi,440.3,9191,20.9,0.656
13,Los Lagos,Chiloé,Quinchao,160.7,9043,56.3,0.648
13,Los Lagos,Osorno,Río Negro,1265.7,13425,10.6,0.633
13,Los Lagos,Osorno,San Juan de la Costa,1517,7997,5.3,0.51
